Price,Quantity,LSTM_Predicted_Price,LSTM_Predicted_Quantity
3827.18,54418.9,3502.358398,27012.82617
3811.61,63889.9,3896.276123,41811.04297
3859.47,72398.9,3628.374512,40642.30859
3801.64,22939.1,3755.620361,21636.84375
3880.86,81764.7,3857.702637,60078.23047
3869.31,10160,3828.77124,15779.99609
3855.38,22767.9,3829.655762,29323.95508
3892.88,22921.2,4008.78418,19037.49805
3873.66,36501.5,3672.852295,11082.84668
3863.78,52983,3957.025635,47830.23438
3953.6,63094,4025.810059,55867.89844
3913.12,15715.6,3818.938721,32303.50586
4015.6,61190.8,3896.17041,61693.59766
4096.89,65556.8,4005.352051,35558.88281
3862.26,9282.7,3908.124756,12726.00684
3885.87,55186.8,3872.244873,31342.02734
3696.14,15314.4,3621.697998,15623.91016
3802.22,74318.7,3638.666016,59378.62891
3756.37,36141.8,3698.66748,38818.23438
3755.26,61562.8,3670.248779,41953.56641
3006.43,32376.9,3488.88916,30128.37109
2995.4,10307.5,3057.603271,27948.91211
3088.92,34384.7,3153.196289,32844.24219
3247.54,18708.8,2946.11499,9553.336914
3173.97,18057,3272.7229,22471.9082
2966.24,18872.5,3174.356934,16694.6875
2720.68,6319.3,2925.039551,5797.387207
2769.32,35975.4,2811.821777,24080.56445
2900.04,39595.8,2801.013916,17599.69531
2802.61,31146.8,2968.396484,25079.95313
2895.22,39236.9,2882.80127,32804.83594
2926.81,15751.8,2961.398193,22271.07227
3113.6,41461.1,2991.468994,27757.30664
3047.27,5215.8,3079.109619,11069.48633
3082.79,27891.1,3144.795166,30760.4375
3175.84,16018.4,3129.4104,11744.14063
3277.64,18584.4,3120.361328,18448.71875
3251.05,30719.1,3274.637939,23279.30078
3256.36,36464.8,3205.681396,27635.86133
3400.54,38557.4,3324.404541,26210.17969
3349.75,39032.8,3441.758057,36654.40625
3389.27,44088.8,3377.227051,25925.77539
3435.27,13078.1,3425.344482,23112.51563
3322.76,40196,3526.743652,30888.24219
3551.13,26082.6,3279.335693,16404.0957
3505.01,50064.4,3604.655518,22175.51563
3576.75,24964.2,3478.887939,23670.47852
3591.6,12841.9,3578.363037,29634.53125
3622.73,35535.2,3546.158203,33333.24219
3766.4,33628.3,3629.789795,22099.50977
3716.17,31665.2,3789.977295,30160.94336
3628.59,30709.9,3688.260498,26339.34961
3602.38,10530.3,3592.302734,16922.49609
3570.98,24026.4,3671.197754,22425.83008
3514.17,6562.4,3563.627197,14164.32813
3542.53,24334.9,3506.560059,15064.43262
3617.83,16365,3544.006836,15571.92676
3531.3,15675,3611.092773,21878.81641
3473.63,17741.3,3496.9729,21070.55859
3427.49,23725.8,3482.19165,18118.83398
3489.82,40629.7,3479.836426,23349.56836
3489.83,39742.1,3495.011475,19329.90625
3530.58,8685.3,3512.75,24660.33984
3399.7,34898.5,3553.339111,30405.71875
2359.62,18884.2,3293.318848,13232.18848
2336.86,21274.4,2563.046631,25454.63672
