Year,Month_Num,production,Rainfall,Quantity,Price,Date
2020,1,16.991666666666667,5.9,35225.0,3777.2594000000004,2020-01-01
2020,2,16.991666666666667,3.6,26373.854545454546,3312.3622727272727,2020-02-01
2020,3,16.991666666666664,44.2,27576.2,2652.968571428571,2020-03-01
2020,5,16.991666666666667,232.30000000000004,16104.5,1769.93,2020-05-01
2020,6,16.991666666666664,535.5,33089.12857142857,1537.181904761905,2020-06-01
2020,7,16.991666666666667,514.9,57298.96,1626.577,2020-07-01
2020,8,16.991666666666667,575.3,67285.55416666667,1694.1387499999998,2020-08-01
2020,9,16.991666666666667,128.9,68735.88461538461,1628.4192307692308,2020-09-01
2020,10,16.991666666666667,222.8,50614.53,1462.9759999999999,2020-10-01
2020,11,16.991666666666667,99.3,52764.754347826085,1477.7310869565217,2020-11-01
2020,12,16.991666666666667,43.1,61559.027450980386,1732.3341176470587,2020-12-01
2021,1,15.066666666666666,105.5,44154.16,1604.2717499999999,2021-01-01
2021,2,15.066666666666666,8.6,43687.01162790698,1441.227441860465,2021-02-01
2021,3,15.066666666666668,49.7,46632.373469387756,1349.6912244897958,2021-03-01
2021,4,15.066666666666666,127.6,49717.689999999995,1195.9516666666666,2021-04-01
2021,5,15.066666666666666,569.4,33122.5,987.0699999999999,2021-05-01
2021,6,15.066666666666666,408.3,42801.9,1047.6233333333334,2021-06-01
2021,7,15.066666666666666,577.4,43836.206976744186,1071.6041860465116,2021-07-01
2021,8,15.066666666666666,416.2,51968.6,1058.6871428571428,2021-08-01
2021,9,15.066666666666666,128.9,58415.98928571429,1059.6332142857143,2021-09-01
2021,10,15.066666666666666,589.5,68772.02142857143,1012.1289285714286,2021-10-01
2021,11,15.066666666666668,394.5,71155.16428571429,1038.6864285714287,2021-11-01
2021,12,15.066666666666666,42.3,64321.692,936.9886,2021-12-01
2022,1,20.733333333333334,3.0,58856.97872340425,879.574255319149,2022-01-01
2022,2,20.73333333333333,12.0,55803.15869565218,918.4567391304348,2022-02-01
2022,3,20.661378205128205,48.71923076923077,57358.376923076925,905.2381730769231,2022-03-01
2022,4,20.733333333333334,195.8,64243.149999999994,900.6358333333333,2022-04-01
2022,5,20.733333333333334,425.3,47383.842,809.4584,2022-05-01
2022,6,20.733333333333334,308.7,42233.072,825.6411999999999,2022-06-01
2022,7,20.733333333333334,652.6,45885.024,888.73,2022-07-01
2022,8,20.73333333333333,550.8,58542.67843137255,966.9119607843137,2022-08-01
2022,9,20.733333333333334,128.9,57254.0306122449,990.5257142857142,2022-09-01
2022,10,20.427777777777777,208.6865423387097,49896.114583333336,968.7291666666666,2022-10-01
2022,11,20.73333333333333,173.2,49522.65098039215,890.3858823529413,2022-11-01
2022,12,20.733333333333334,89.5,51645.79795918367,855.2204081632652,2022-12-01
2023,1,14.85,12.8,62245.57111111111,1006.2920000000001,2023-01-01
2023,2,14.85,2.4,58814.27777777778,1330.8306666666665,2023-02-01
2023,3,14.849999999999998,31.6,40314.0431372549,1393.070588235294,2023-03-01
2023,4,14.85,76.5,41372.594736842104,1273.7052631578947,2023-04-01
2023,5,14.85,128.9,38074.32884615385,1059.4592307692308,2023-05-01
2023,6,14.85,259.4,38972.24222222222,1133.0162222222223,2023-06-01
2023,7,14.85,591.7,40397.926,1385.5888,2023-07-01
2023,8,14.85,60.0,54462.306000000004,1978.0069999999998,2023-08-01
2023,9,14.85,128.9,46988.955769230764,1830.3325,2023-09-01
2023,10,14.850000000000001,310.5,53287.75833333333,1645.7516666666666,2023-10-01
2023,11,14.849999999999998,240.09999999999997,52282.75490196078,1517.1149019607842,2023-11-01
2023,12,14.85,74.3,65833.48,1629.489,2023-12-01
2024,1,10.45,58.8,58272.162000000004,1641.9019999999998,2024-01-01
2024,2,10.450000000000001,0.6,56229.026530612246,1486.998367346939,2024-02-01
2024,3,10.45,11.6,48795.537500000006,1431.7258333333332,2024-03-01
2024,4,10.45,41.0,50798.97391304348,1782.9613043478262,2024-04-01
2024,5,10.45,447.20000000000005,45432.17735849057,2087.233396226415,2024-05-01
2024,6,10.450000000000001,489.3,38955.31590909091,2357.6322727272727,2024-06-01
2024,7,10.45,759.7,29973.743902439026,2221.3641463414633,2024-07-01
2024,8,10.45,310.7,36062.71875,2204.9910416666667,2024-08-01
2024,9,10.45,128.9,50803.958695652174,2280.165434782609,2024-09-01
2024,10,10.450000000000001,239.6,57464.46136363636,2269.649318181818,2024-10-01
2024,11,10.450000000000001,116.3,52404.475,2731.3729545454544,2024-11-01
2024,12,10.45,131.3,42526.96304347827,2912.8628260869564,2024-12-01
2025,1,13.4,5.5,49451.065217391304,3053.7139130434784,2025-01-01
2025,2,13.4,1.7,40502.4,2915.8982608695655,2025-02-01
2025,3,13.4,65.7,31059.408163265307,2696.949183673469,2025-03-01
2025,4,13.4,126.5,44656.137777777774,2522.3235555555557,2025-04-01
2025,5,13.4,584.3,36865.623999999996,2206.0914000000002,2025-05-01
2025,6,13.4,620.5,26657.328260869563,2469.4889130434785,2025-06-01
2025,7,13.399999999999999,570.2,37675.6462264151,2602.8277358490564,2025-07-01
2025,8,13.399999999999999,355.9,62652.535416666666,2507.36125,2025-08-01
2025,9,13.4,128.9,77996.504,2496.3572,2025-09-01
2025,10,13.4,294.48467741935485,79289.82954545454,2461.5154545454543,2025-10-01
