Month,Predicted_Price,Predicted_Quantity
6,2400.6724,18500.045
7,2397.1538,18800.014
8,2406.2803,19049.986
9,2406.2803,19299.97
10,2406.2803,19500.041
11,2406.2803,19799.96
12,2406.2803,19700.01
1,2406.2803,19399.979
2,2403.1433,19200.02
3,2284.1294,18999.959
4,2290.627,18999.959
5,2290.627,18999.959
